City ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date,Country
80,Hilo,19.7297,-155.09,74.8,94,90,4.61,1627721006,US
81,Tasiilaq,65.6145,-37.6368,44.76,80,10,1.68,1627721214,GL
82,Tucuman,-26.8241,-65.2226,44.6,61,3,8.05,1627721214,AR
83,Gillette,44.2911,-105.5022,65.8,76,1,0.0,1627721214,US
84,Gamba,-2.65,10.0,78.98,63,51,5.35,1627721214,GA
85,Isangel,-19.55,169.2667,69.22,59,6,16.17,1627721007,VU
86,Naze,28.3667,129.4833,83.32,79,95,8.68,1627721215,JP
87,Torbay,47.6666,-52.7314,66.27,98,90,17.27,1627721215,CA
88,Tours,47.4167,0.6667,67.78,73,90,4.61,1627721026,FR
89,Ostrovnoy,68.0531,39.5131,47.43,96,100,9.8,1627721215,RU
90,Bluff,-46.6,168.3333,47.8,95,100,6.22,1627721215,NZ
91,Nadym,65.5333,72.5167,60.08,55,87,12.53,1627721215,RU
92,Narsaq,60.9167,-46.05,52.02,78,100,2.66,1627721020,GL
93,San Ramon De La Nueva Oran,-23.1322,-64.326,42.35,59,76,1.63,1627721216,AR
94,Saskylakh,71.9167,114.0833,85.64,21,10,11.68,1627721216,RU
95,Harbin,45.75,126.65,78.75,68,16,7.96,1627721216,CN
96,Kapaa,22.0752,-159.319,80.92,74,90,5.01,1627721216,US
97,Vila Franca Do Campo,37.7167,-25.4333,70.21,85,91,4.59,1627721216,PT
98,Pitkyaranta,61.5734,31.4792,61.2,78,90,6.17,1627721216,RU
99,Ambilobe,-13.2,49.05,88.18,30,8,12.24,1627721216,MG
100,Hami,42.8,93.45,96.6,15,99,1.39,1627721216,CN
101,Namibe,-15.1961,12.1522,68.63,88,0,0.0,1627721217,AO
102,Lima,-12.0432,-77.0282,59.9,88,90,9.22,1627721217,PE
103,Saint Anthony,45.0205,-93.218,63.01,85,20,1.01,1627721217,US
104,Khandyga,62.6667,135.6,73.09,39,12,5.01,1627721217,RU
105,Nantucket,41.2835,-70.0995,66.31,64,1,10.36,1627721217,US
106,Chokurdakh,70.6333,147.9167,43.2,71,100,17.47,1627721217,RU
107,Henties Bay,-22.116,14.2845,80.85,20,0,25.99,1627721217,NA
108,Eyl,7.9803,49.8164,87.76,41,98,25.52,1627721217,SO
109,Jamestown,42.097,-79.2353,54.72,87,75,1.5,1627721217,US
110,Asgabat,37.95,58.3833,94.86,13,0,9.22,1627721091,TM
111,Comodoro Rivadavia,-45.8667,-67.5,35.46,51,0,6.91,1627721218,AR
112,Esteli,13.0919,-86.3538,65.52,94,100,5.86,1627721218,NI
113,Falun,60.6036,15.626,68.95,55,62,4.7,1627721009,SE
114,Koumra,8.9126,17.5539,74.48,92,100,5.97,1627721218,TD
115,Ilirska Bistrica,45.5697,14.2408,83.12,58,0,7.38,1627721218,SI
116,Thompson,55.7435,-97.8558,48.36,81,1,2.3,1627721218,CA
117,Nikolskoye,59.7035,30.7861,67.39,83,97,14.05,1627721218,RU
118,Erenhot,43.6475,111.9767,69.21,52,100,22.82,1627721218,CN
119,Abu Zabad,12.35,29.25,80.73,68,100,16.75,1627721218,SD
120,Kutum,14.2,24.6667,84.29,44,70,15.08,1627721218,SD
121,Qui Nhon,13.7667,109.2333,93.6,51,61,18.86,1627721219,VN
122,Coquimbo,-29.9533,-71.3436,47.93,93,90,5.75,1627721219,CL
123,Sambava,-14.2667,50.1667,76.59,61,35,15.93,1627721219,MG
124,Kedrovyy,56.1667,91.8167,73.81,35,1,6.22,1627721219,RU
125,Acarau,-2.8856,-40.12,75.13,84,89,10.92,1627721219,BR
126,Royan,45.6285,-1.0281,65.46,77,100,3.09,1627721219,FR
127,Kodiak,57.79,-152.4072,51.48,90,80,2.37,1627721219,US
128,Dikson,73.5069,80.5464,45.46,98,100,8.81,1627721219,RU
129,Guerrero Negro,27.9769,-114.0611,70.41,83,80,6.8,1627721219,MX
130,Faanui,-16.4833,-151.75,77.47,68,76,15.77,1627721219,PF
131,Yellowknife,62.456,-114.3525,64.29,77,75,5.75,1627721020,CA
132,Tuktoyaktuk,69.4541,-133.0374,46.76,99,98,4.32,1627721220,CA
133,Saint-Philippe,-21.3585,55.7679,76.55,75,10,15.03,1627721220,RE
134,Ust-Ilimsk,58.0006,102.6619,76.01,50,100,7.11,1627721220,RU
135,Saint George,37.1041,-113.5841,81.36,57,1,5.99,1627721025,US
136,Katsuura,35.1333,140.3,86.14,78,1,7.38,1627721220,JP
137,Seoul,37.5683,126.9778,93.96,54,20,10.36,1627721220,KR
138,Oriximina,-1.7656,-55.8661,71.53,96,63,2.64,1627721220,BR
139,Bubaque,11.2833,-15.8333,77.2,88,100,21.16,1627721220,GW
140,Buala,-8.145,159.5921,79.86,83,77,8.79,1627721053,SB
141,Hobart,-42.8794,147.3294,57.25,64,75,4.0,1627721220,AU
142,San Patricio,28.017,-97.5169,84.09,84,2,6.69,1627721221,US
143,Pangkalanbuun,-2.6833,111.6167,85.28,64,96,3.31,1627721221,ID
144,Bud,39.447,-86.1758,66.22,84,73,3.96,1627721221,US
145,Tuatapere,-46.1333,167.6833,47.82,98,100,1.79,1627721221,NZ
146,Dakar,14.6937,-17.4441,82.53,78,75,11.5,1627721181,SN
147,San Jeronimo,-11.9472,-75.2829,48.58,65,97,1.57,1627721221,PE
148,Atasu,48.6814,71.6433,86.38,14,8,7.36,1627721221,KZ
149,Marica,-22.9194,-42.8186,57.15,76,86,5.82,1627721221,BR
150,Pacific Grove,36.6177,-121.9166,63.16,91,90,8.01,1627721221,US
151,Lompoc,34.6391,-120.4579,63.09,94,90,0.0,1627721221,US
152,Sandviken,60.6167,16.7667,69.44,50,22,2.95,1627721105,SE
153,Olinda,-8.0089,-34.8553,71.33,23,40,13.8,1627721221,BR
154,Butaritari,3.0707,172.7902,80.17,78,100,5.75,1627721016,KI
155,Qaanaaq,77.484,-69.3632,42.21,87,69,2.95,1627721222,GL
156,Natal,-5.795,-35.2094,72.25,100,40,10.36,1627721222,BR
157,Jalu,29.0331,21.5482,97.97,18,0,12.24,1627721222,LY
158,Geraldton,-28.7667,114.6,63.01,59,90,8.05,1627721222,AU
159,Paamiut,61.994,-49.6678,45.86,83,98,8.05,1627721223,GL
160,Hamilton,39.1834,-84.5333,69.39,86,1,0.0,1627721223,US
161,Mountain Home,43.133,-115.6912,80.08,44,75,8.05,1627721223,US
162,Awjilah,29.1081,21.2869,98.13,18,0,11.56,1627721047,LY
163,Tigil,57.8,158.6667,48.45,73,96,8.08,1627721223,RU
164,Hithadhoo,-0.6,73.0833,81.48,72,36,3.83,1627721223,MV
165,Chuy,-33.6971,-53.4616,41.74,90,0,5.01,1627721224,UY
166,Hofn,64.2539,-15.2082,48.0,81,48,5.21,1627721224,IS
167,Atambua,-9.1061,124.8925,77.81,70,22,2.64,1627721225,ID
168,Ribeira Grande,38.5167,-28.7,72.0,73,20,0.0,1627721225,PT
169,Pochutla,15.7432,-96.4661,76.82,79,22,4.61,1627721225,MX
170,Prince Rupert,54.3161,-130.3201,58.69,97,90,2.3,1627721017,CA
171,Carnarvon,-24.8667,113.6333,64.47,54,58,12.66,1627721225,AU
172,Rumoi,43.9344,141.6428,79.77,81,15,1.92,1627721225,JP
173,Cap Malheureux,-19.9842,57.6142,75.69,66,11,11.99,1627721225,MU
174,Kununurra,-15.7667,128.7333,91.38,31,4,8.05,1627721226,AU
175,Callaway,30.153,-85.5699,81.91,86,20,1.01,1627721226,US
176,Kerema,-7.9631,145.7785,78.35,88,99,4.23,1627721226,PG
177,Muros,42.7762,-9.0603,67.23,76,58,6.55,1627721226,ES
178,Georgetown,5.4112,100.3354,87.73,70,20,1.01,1627720948,MY
179,Airai,-8.9266,125.4092,64.81,77,97,2.55,1627721008,TL
180,Bathsheba,13.2167,-59.5167,81.21,83,40,18.41,1627721019,BB
181,Parksville,49.3163,-124.3195,74.84,55,5,13.8,1627721226,CA
182,Noumea,-22.2763,166.4572,64.38,55,87,16.55,1627721227,NC
183,Malakal,9.5334,31.6605,72.63,92,100,3.24,1627721227,SS
184,Sekoma,-24.4,23.8833,63.68,33,0,13.62,1627721227,BW
185,Catamarca,-28.4696,-65.7852,48.78,58,0,1.99,1627721227,AR
186,Banjar,-8.19,114.9675,82.26,63,35,2.77,1627721227,ID
187,Port Hardy,50.6996,-127.4199,55.58,100,90,0.0,1627721227,CA
188,Kondinskoye,59.6481,67.41,72.03,38,20,6.91,1627721227,RU
189,Ushtobe,45.2514,77.9838,89.74,16,0,15.88,1627721227,KZ
190,Hovd,48.0056,91.6419,64.42,57,100,10.71,1627721227,MN
191,Eucaliptus,-17.5833,-67.5167,39.76,72,97,0.22,1627721228,BO
192,Atar,20.5169,-13.0499,95.99,23,2,6.17,1627721228,MR
193,San Cristobal,7.7669,-72.225,64.29,96,89,3.53,1627721228,VE
194,Plettenberg Bay,-34.0527,23.3716,69.03,41,10,1.9,1627721228,ZA
195,Bairiki,1.3292,172.9752,80.6,78,75,0.0,1627721228,KI
196,Esperance,-33.8667,121.9,55.24,62,46,15.97,1627721228,AU
197,Cape Town,-33.9258,18.4232,64.11,89,0,1.01,1627721125,ZA
198,Berlevag,70.8578,29.0864,48.6,88,100,15.48,1627721229,NO
199,Yar-Sale,66.8333,70.8333,53.22,80,100,13.24,1627721229,RU
200,Udachnyy,66.4167,112.4,80.73,22,0,10.51,1627721229,RU
